34,Dream League Soccer 2018,First Touch Games Ltd.,Games,Sports,9579214,100 M,4.59,Free,https://www.androidrank.org/application/dream_league_soccer_2018/com.firsttouchgames.dls3?hl=en
35,Google Chrome: Fast & Secure,Google LLC,Communication,,9498401,1000 M,4.29,Free,https://www.androidrank.org/application/google_chrome_fast_secure/com.android.chrome?hl=en
36,Maps - Navigation & Transit,Google LLC,Travel and Local,,9153157,1000 M,4.34,Free,https://www.androidrank.org/application/maps_navigation_transit/com.google.android.apps.maps?hl=en
37,Hill Climb Racing,Fingersoft,Games,Racing,8867265,100 M,4.44,Free,https://www.androidrank.org/application/hill_climb_racing/com.fingersoft.hillclimb?hl=en
38,Super-Bright LED Flashlight,ONE App Essentials.,Productivity,,8819320,500 M,4.59,Free,https://www.androidrank.org/application/super_bright_led_flashlight/com.surpax.ledflashlight.panel?hl=en
39,Facebook Lite,Facebook,Social,,8371170,500 M,4.28,Free,https://www.androidrank.org/application/facebook_lite/com.facebook.lite?hl=en
40,Asphalt 8: Airborne,Gameloft,Games,Racing,8319789,100 M,4.51,Free,https://www.androidrank.org/application/asphalt_8_airborne/com.gameloft.android.ANMP.GloftA8HM?hl=en
41,Battery Doctor-Battery Life Saver & Battery Cooler,Cheetah Mobile Inc. (NYSE: CMCM),Tools,,8190866,100 M,4.53,Free,https://www.androidrank.org/application/battery_doctor_battery_life_saver_battery_cooler/com.ijinshan.kbatterydoctor_en?hl=en
42,Piano Tiles 2™,Cheetah Games,Games,Arcade,8069829,100 M,4.69,Free,https://www.androidrank.org/application/piano_tiles_2tm/com.cmplay.tiles2?hl=en
43,Temple Run 2,Imangi Studios,Games,Action,8033637,500 M,4.32,Free,https://www.androidrank.org/application/temple_run_2/com.imangi.templerun2?hl=en
44,Google,Google LLC,Tools,,7859720,1000 M,4.39,Free,https://www.androidrank.org/application/google/com.google.android.googlequicksearchbox?hl=en
45,Mobile Legends: Bang Bang,Moonton,Games,Action,7774725,100 M,4.37,Free,https://www.androidrank.org/application/mobile_legends_bang_bang/com.mobile.legends?hl=en
46,Truecaller: Caller ID & SMS spam blocking & Dialer,True Software Scandinavia AB,Communication,,7615066,100 M,4.54,Free,https://www.androidrank.org/application/truecaller_caller_id_sms_spam_blocking_dialer/com.truecaller?hl=en
47,Farm Heroes Saga,King,Games,Casual,7591817,100 M,4.41,Free,https://www.androidrank.org/application/farm_heroes_saga/com.king.farmheroessaga?hl=en
48,SHAREit - Transfer & Share,SHAREit Technologies Co.Ltd,Tools,,7554697,500 M,4.62,Free,https://www.androidrank.org/application/shareit_transfer_share/com.lenovo.anyshare.gps?hl=en
49,PicsArt Photo Studio: Collage Maker & Pic Editor,PicsArt,Photography,,7514990,100 M,4.46,Free,https://www.androidrank.org/application/picsart_photo_studio_collage_maker_pic_editor/com.picsart.studio?hl=en
